D-Lin-MC3-DMA	O=C(OC(CCCCCCCC/C=C\C/C=C\CCCCC)CCCCCCCC/C=C\C/C=C\CCCCC)CCCN(C)C
FulvDMGly	OC1=CC=C2C(C[C@@H](CCCCCCCCCS(CCCC(F)(F)C(F)(F)F)(=O)=NC(CN(C)C)=O)[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])CC[C@@H]4O)=C1
Siramesine	C1CN(CCC12C3=CC=CC=C3CO2)CCCCC4=CN(C5=CC=CC=C54)C6=CC=C(C=C6)F
